experiment_id,station_id,session_id,operation_rows,operation_rows_used_zero_times,operation_rows_used_once,operation_rows_used_multiple_times,mean_power_rows_per_operation,max_power_rows_per_operation
Exp20190124,10,Exp20190124-S10-001,128,62,0,66,14.3671875,325
Exp20190124,10,Exp20190124-S10-002,18,11,0,7,1.2777777777777777,6
Exp20190124,10,Exp20190124-S10-003,98,46,0,52,14.091836734693878,182
Exp20190124,20,Exp20190124-S20-001,118,49,0,69,14.279661016949152,251
Exp20190124,20,Exp20190124-S20-002,16,8,0,8,2.6875,11
Exp20190124,20,Exp20190124-S20-003,63,29,1,33,14.126984126984127,309
Exp20190124,30,Exp20190124-S30-001,111,50,0,61,19.8018018018018,423
Exp20190124,30,Exp20190124-S30-002,78,34,0,44,22.564102564102566,459
Exp20190124,50,Exp20190124-S50-001,24,16,0,8,51.25,468
Exp20190124,50,Exp20190124-S50-002,24,14,0,10,63.041666666666664,510
Exp20190124,60,Exp20190124-S60-001,99,39,6,54,16.555555555555557,529
Exp20190124,60,Exp20190124-S60-002,77,28,8,41,15.025974025974026,341
Exp20190124,70,Exp20190124-S70-001,100,37,14,49,15.46,506
Exp20190124,70,Exp20190124-S70-002,74,35,0,39,15.243243243243244,317
Exp20190124,80,Exp20190124-S80-001,102,39,6,57,17.470588235294116,598
Exp20190124,80,Exp20190124-S80-002,76,29,3,44,17.263157894736842,372
Exp20190320,10,Exp20190320-S10-001,73,30,1,42,22.958904109589042,568
Exp20190320,10,Exp20190320-S10-002,14,8,0,6,3.0,20
Exp20190320,10,Exp20190320-S10-003,70,31,0,39,16.8,340
Exp20190320,20,Exp20190320-S20-001,106,35,10,61,10.735849056603774,494
Exp20190320,20,Exp20190320-S20-002,18,9,1,8,5.444444444444445,58
Exp20190320,20,Exp20190320-S20-003,58,23,1,34,15.379310344827585,310
Exp20190320,30,Exp20190320-S30-001,32,17,0,15,26.40625,725
Exp20190320,30,Exp20190320-S30-002,18,8,0,10,3.388888888888889,19
Exp20190320,30,Exp20190320-S30-003,48,23,0,25,17.229166666666668,458
Exp20190320,60,Exp20190320-S60-001,32,13,1,18,18.4375,531
Exp20190320,60,Exp20190320-S60-002,16,9,0,7,1.8125,7
Exp20190320,60,Exp20190320-S60-003,48,18,6,24,12.708333333333334,354
Exp20190320,70,Exp20190320-S70-001,32,18,0,14,17.84375,489
Exp20190320,70,Exp20190320-S70-002,16,9,0,7,2.625,11
Exp20190320,70,Exp20190320-S70-003,50,26,0,24,11.46,306
Exp20190320,80,Exp20190320-S80-001,32,13,1,18,20.625,562
Exp20190320,80,Exp20190320-S80-002,16,8,0,8,3.0625,17
Exp20190320,80,Exp20190320-S80-003,48,24,0,24,14.208333333333334,369
Exp20190416,10,Exp20190416-S10-001,90,42,1,47,11.133333333333333,172
Exp20190416,10,Exp20190416-S10-002,2014,970,2,1042,4.216981132075472,169
Exp20190416,10,Exp20190416-S10-003,2260,1090,5,1165,13.457522123893805,754
Exp20190416,20,Exp20190416-S20-001,70,28,0,42,11.942857142857143,192
Exp20190416,20,Exp20190416-S20-002,1969,951,4,1014,3.781615033011681,142
Exp20190416,20,Exp20190416-S20-003,12,6,0,6,2.0833333333333335,6
Exp20190416,20,Exp20190416-S20-004,657,296,0,361,33.732115677321154,850
Exp20190416,30,Exp20190416-S30-001,40,16,0,24,27.75,477
Exp20190416,30,Exp20190416-S30-002,1970,953,3,1014,5.188832487309645,201
Exp20190416,30,Exp20190416-S30-003,2187,977,80,1130,18.48971193415638,1252
Exp20190416,50,Exp20190416-S50-001,214,113,12,89,146.3551401869159,1659
Exp20190416,60,Exp20190416-S60-001,36,18,0,18,16.916666666666668,364
Exp20190416,60,Exp20190416-S60-002,1998,893,1,1104,4.2242242242242245,131
Exp20190416,60,Exp20190416-S60-003,2166,907,108,1151,13.783010156971375,865
Exp20190416,70,Exp20190416-S70-001,36,16,5,15,16.5,356
Exp20190416,70,Exp20190416-S70-002,1980,963,4,1013,3.748989898989899,112
Exp20190416,70,Exp20190416-S70-003,2143,1076,2,1065,13.05459636024265,830
Exp20190416,80,Exp20190416-S80-001,36,16,0,20,18.02777777777778,379
Exp20190416,80,Exp20190416-S80-002,1985,874,14,1097,5.150125944584383,165
Exp20190416,80,Exp20190416-S80-003,2149,936,15,1198,18.861796184271753,1233
Exp20190514,10,Exp20190514-S10-001,166,80,2,84,21.602409638554217,511
Exp20190514,10,Exp20190514-S10-002,606,271,4,331,33.4009900990099,712
Exp20190514,20,Exp20190514-S20-001,102,50,0,52,28.99019607843137,878
Exp20190514,20,Exp20190514-S20-002,218,80,19,119,31.706422018348626,824
Exp20190514,20,Exp20190514-S20-003,322,139,5,178,35.30434782608695,851
Exp20190514,30,Exp20190514-S30-001,98,41,4,53,36.61224489795919,1044
Exp20190514,30,Exp20190514-S30-002,205,86,3,116,42.02439024390244,976
Exp20190514,30,Exp20190514-S30-003,306,139,0,167,44.911764705882355,1029
Exp20190514,50,Exp20190514-S50-001,106,59,0,47,150.52830188679246,1323
Exp20190514,60,Exp20190514-S60-001,96,42,0,54,32.354166666666664,744
Exp20190514,60,Exp20190514-S60-002,206,96,1,109,36.6747572815534,871
Exp20190514,60,Exp20190514-S60-003,308,134,17,157,37.56818181818182,898
Exp20190514,70,Exp20190514-S70-001,96,49,2,45,31.0,704
Exp20190514,70,Exp20190514-S70-002,210,109,0,101,34.38095238095238,828
Exp20190514,70,Exp20190514-S70-003,309,150,0,159,35.98705501618123,849
Exp20190514,80,Exp20190514-S80-001,98,36,10,52,33.59183673469388,767
Exp20190514,80,Exp20190514-S80-002,205,92,0,113,41.05365853658537,959
Exp20190514,80,Exp20190514-S80-003,312,142,0,170,41.51282051282051,969
Exp20190617,10,Exp20190617-S10-001,755,372,13,370,20.774834437086092,1153
Exp20190617,10,Exp20190617-S10-002,90,41,0,49,32.78888888888889,538
Exp20190617,20,Exp20190617-S20-001,584,246,50,288,23.833904109589042,1607
Exp20190617,20,Exp20190617-S20-002,86,38,0,48,32.36046511627907,945
Exp20190617,30,Exp20190617-S30-001,589,293,1,295,26.387096774193548,1793
Exp20190617,30,Exp20190617-S30-002,94,32,14,48,38.712765957446805,986
Exp20190617,50,Exp20190617-S50-001,159,88,0,71,127.0,3562
Exp20190617,50,Exp20190617-S50-002,23,13,1,9,127.3913043478261,1104
Exp20190617,60,Exp20190617-S60-001,557,249,14,294,27.642728904847395,2005
Exp20190617,60,Exp20190617-S60-002,101,46,0,55,31.85148514851485,766
Exp20190617,70,Exp20190617-S70-001,549,276,0,273,26.735883424408016,1920
Exp20190617,70,Exp20190617-S70-002,100,44,7,49,31.49,726
Exp20190617,80,Exp20190617-S80-001,556,248,0,308,29.469424460431654,1985
Exp20190617,80,Exp20190617-S80-002,100,41,5,54,34.05,804
