experiment_id,station_id,station_name,power_rows_outside_plc_intervals,first_power_timestamp_utc,last_power_timestamp_utc
Exp20190124,10,Manual,1921,2019-01-24 09:13:21.694000+00:00,2019-01-24 10:02:33.406000+00:00
Exp20190124,20,MagazineFront,2268,2019-01-24 09:13:22.177000+00:00,2019-01-24 10:02:33.173000+00:00
Exp20190124,30,DrillingCPS,3285,2019-01-24 09:13:21.693000+00:00,2019-01-24 10:02:32.586000+00:00
Exp20190124,50,RobotAssembly,4453,2019-01-24 09:13:22.218000+00:00,2019-01-24 10:02:33.141000+00:00
Exp20190124,60,CameraInspection,2397,2019-01-24 09:13:21.693000+00:00,2019-01-24 10:02:33.377000+00:00
Exp20190124,70,MagazineBack,2369,2019-01-24 09:13:22.268000+00:00,2019-01-24 10:02:33.272000+00:00
Exp20190124,80,Press,2468,2019-01-24 09:13:22.021000+00:00,2019-01-24 10:02:33.015000+00:00
Exp20190320,10,Manual,10396,2019-03-20 14:26:47.068000+00:00,2019-03-20 16:18:08.183000+00:00
Exp20190320,20,MagazineFront,10978,2019-03-20 14:26:47.084000+00:00,2019-03-20 16:18:07.747000+00:00
Exp20190320,30,DrillingCPS,17947,2019-03-20 14:26:47.467000+00:00,2019-03-20 16:18:08.024000+00:00
Exp20190320,60,CameraInspection,12083,2019-03-20 14:26:47.067000+00:00,2019-03-20 16:18:07.573000+00:00
Exp20190320,70,MagazineBack,11958,2019-03-20 14:26:46.988000+00:00,2019-03-20 16:18:08.318000+00:00
Exp20190320,80,Press,12266,2019-03-20 14:26:47.090000+00:00,2019-03-20 16:18:07.621000+00:00
Exp20190416,10,Manual,1149,2019-04-16 07:23:48.627000+00:00,2019-04-16 16:44:47.141000+00:00
Exp20190416,20,MagazineFront,1576,2019-04-16 07:23:48.538000+00:00,2019-04-16 16:44:47.433000+00:00
Exp20190416,30,DrillingCPS,2410,2019-04-16 07:23:48.449000+00:00,2019-04-16 16:44:46.909000+00:00
Exp20190416,50,RobotAssembly,23586,2019-04-16 07:23:48.384000+00:00,2019-04-16 16:44:47.448000+00:00
Exp20190416,60,CameraInspection,2323,2019-04-16 07:23:48.858000+00:00,2019-04-16 16:44:47.452000+00:00
Exp20190416,70,MagazineBack,2260,2019-04-16 07:23:48.436000+00:00,2019-04-16 16:44:46.981000+00:00
Exp20190416,80,Press,2800,2019-04-16 07:23:48.434000+00:00,2019-04-16 16:44:46.953000+00:00
Exp20190514,10,Manual,2174,2019-05-14 07:28:40.825000+00:00,2019-05-14 11:02:47.357000+00:00
Exp20190514,20,MagazineFront,3837,2019-05-14 07:28:40.553000+00:00,2019-05-14 11:02:47.156000+00:00
Exp20190514,30,DrillingCPS,4936,2019-05-14 07:28:40.581000+00:00,2019-05-14 11:02:46.906000+00:00
Exp20190514,50,RobotAssembly,1423,2019-05-14 09:25:27.429000+00:00,2019-05-14 11:02:47.311000+00:00
Exp20190514,60,CameraInspection,4405,2019-05-14 07:28:40.713000+00:00,2019-05-14 11:02:47.461000+00:00
Exp20190514,70,MagazineBack,3908,2019-05-14 07:28:40.580000+00:00,2019-05-14 11:02:47.026000+00:00
Exp20190514,80,Press,4176,2019-05-14 07:28:40.580000+00:00,2019-05-14 11:02:46.926000+00:00
Exp20190617,10,Manual,1754,2019-06-17 07:58:16.188000+00:00,2019-06-17 12:29:49.863000+00:00
Exp20190617,20,MagazineFront,2727,2019-06-17 07:58:16.184000+00:00,2019-06-17 12:29:49.219000+00:00
Exp20190617,30,DrillingCPS,2388,2019-06-17 07:58:16.191000+00:00,2019-06-17 12:29:49.313000+00:00
Exp20190617,50,RobotAssembly,5025,2019-06-17 07:58:16.194000+00:00,2019-06-17 12:29:49.605000+00:00
Exp20190617,60,CameraInspection,1897,2019-06-17 07:58:16.181000+00:00,2019-06-17 12:29:49.075000+00:00
Exp20190617,70,MagazineBack,1846,2019-06-17 07:58:16.201000+00:00,2019-06-17 12:29:49.481000+00:00
Exp20190617,80,Press,1954,2019-06-17 07:58:16.195000+00:00,2019-06-17 12:29:49.090000+00:00
