experiment_id,station_id,session_id,power_start_utc,power_end_utc,operation_start_utc,operation_end_utc,temporal_overlap_seconds,power_before_first_operation_seconds,power_after_last_operation_seconds
Exp20190124,10,Exp20190124-S10-001,2019-01-24T09:17:10.404000+00:00,2019-01-24T09:31:03.411000+00:00,2019-01-24T09:17:10.283000+00:00,2019-01-24T09:31:03.727000+00:00,833.007,0,0
Exp20190124,10,Exp20190124-S10-002,2019-01-24T09:47:32.334000+00:00,2019-01-24T09:47:41.374000+00:00,2019-01-24T09:47:31.704000+00:00,2019-01-24T09:47:42.205000+00:00,9.04,0,0
Exp20190124,10,Exp20190124-S10-003,2019-01-24T09:50:00.290000+00:00,2019-01-24T10:00:23.316000+00:00,2019-01-24T09:50:00.229000+00:00,2019-01-24T10:00:24.185000+00:00,623.026,0,0
Exp20190124,20,Exp20190124-S20-001,2019-01-24T09:17:21.180000+00:00,2019-01-24T09:31:04.165000+00:00,2019-01-24T09:17:20.317000+00:00,2019-01-24T09:31:04.232000+00:00,822.985,0,0
Exp20190124,20,Exp20190124-S20-002,2019-01-24T09:47:42.170000+00:00,2019-01-24T09:47:59.165000+00:00,2019-01-24T09:47:41.190000+00:00,2019-01-24T09:47:59.191000+00:00,16.995,0,0
Exp20190124,20,Exp20190124-S20-003,2019-01-24T09:50:26.202000+00:00,2019-01-24T09:57:38.192000+00:00,2019-01-24T09:50:25.679000+00:00,2019-01-24T09:57:38.197000+00:00,431.99,0,0
Exp20190124,30,Exp20190124-S30-001,2019-01-24T09:17:37.513000+00:00,2019-01-24T09:29:50.576000+00:00,2019-01-24T09:17:37.290000+00:00,2019-01-24T09:29:50.754000+00:00,733.063,0,0
Exp20190124,30,Exp20190124-S30-002,2019-01-24T09:47:58.517000+00:00,2019-01-24T09:57:47.531000+00:00,2019-01-24T09:47:58.208000+00:00,2019-01-24T09:57:48.179000+00:00,589.014,0,0
Exp20190124,50,Exp20190124-S50-001,2019-01-24T09:20:36.123000+00:00,2019-01-24T09:27:27.155000+00:00,2019-01-24T09:20:35.881000+00:00,2019-01-24T09:27:27.764000+00:00,411.032,0,0
Exp20190124,50,Exp20190124-S50-002,2019-01-24T09:48:50.077000+00:00,2019-01-24T09:57:16.081000+00:00,2019-01-24T09:48:49.740000+00:00,2019-01-24T09:57:16.205000+00:00,506.004,0,0
Exp20190124,60,Exp20190124-S60-001,2019-01-24T09:18:05.380000+00:00,2019-01-24T09:30:17.399000+00:00,2019-01-24T09:18:04.382000+00:00,2019-01-24T09:30:17.841000+00:00,732.019,0,0
Exp20190124,60,Exp20190124-S60-002,2019-01-24T09:50:37.382000+00:00,2019-01-24T09:59:15.377000+00:00,2019-01-24T09:50:37.339000+00:00,2019-01-24T09:59:16.292000+00:00,517.995,0,0
Exp20190124,70,Exp20190124-S70-001,2019-01-24T09:18:15.264000+00:00,2019-01-24T09:30:27.350000+00:00,2019-01-24T09:18:14.792000+00:00,2019-01-24T09:30:27.795000+00:00,732.086,0,0
