relative_path,experiment,sheet,dimension,xml_rows,max_row,formula_count,formula_samples,cached_formula_errors,timestamp_start_utc,timestamp_end_utc,first_populated_row,sample_values
Exp20190320/DataLogger20190320_4154_1641.xlsx,Exp20190320,DataLogger,A1:F10,10,10,0,[],{},2019-03-20T14:41:41.335000Z,2019-03-20T15:00:48.830000Z,"[""PrimaryKey"",""DataType"",""Value"",""StatusCode"",""SourceTimeStamp"",""ServerTimeStamp""]","[""PrimaryKey"",""DataType"",""Value"",""StatusCode"",""SourceTimeStamp"",""ServerTimeStamp"",""1"",""0x0001"",""0"",""0x00000000"",""2019-03-20T14:41:41.335Z"",""2019-03-20T14:41:41.335Z"",""1"",""0x0001"",""1"",""0x00000000"",""2019-03-20T14:51:39.580Z"",""2019-03-20T14:51:39.580Z"",""1"",""0x0001"",""0"",""0x00000000"",""2019-03-20T14:51:41.080Z"",""2019-03-20T14:51:41.080Z"",""1"",""0x0001"",""1"",""0x00000000"",""2019-03-20T14:56:03.088Z"",""2019-03-20T14:56:03.088Z"",""1"",""0x0001"",""0"",""0x00000000"",""2019-03-20T14:56:04.330Z"",""2019-03-20T14:56:04.330Z"",""1"",""0x0001"",""1"",""0x00000000"",""2019-03-20T15:00:45.830Z"",""2019-03-20T15:00:45.830Z"",""1"",""0x0001"",""0"",""0x00000000"",""2019-03-20T15:00:46.330Z"",""2019-03-20T15:00:46.330Z"",""1"",""0x0001"",""1"",""0x00000000"",""2019-03-20T15:00:47.330Z"",""2019-03-20T15:00:47.330Z"",""1"",""0x0001"",""0"",""0x00000000"",""2019-03-20T15:00:48.830Z"",""2019-03-20T15:00:48.830Z""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,Energy saving calcs no 1o,A1:P19,17,19,74,"[""+C2/8*7"",""+C2/8-B2"",""+E2+D2"",""+PIVOT!B5"",""+C3/8*7"",""+C3/8-B3"",""+E3+D3"",""+G3*F3"",""+H3*F3"",""+I3-J3"",""+(+I3-J3)/I3"",""+I3/(1000*3600)"",""+J3/(1000*3600)"",""+(G3-H3)/G3"",""+PIVOT!B6"",""+C4/8*7"",""+C4/8-B4"",""+E4+D4"",""+G4*F4"",""+H4*F4""]",{},,,"[""Station nr."",""cycle time (s)"",""takt time (s)"",""free cycles (s)"",""available"",""idle time"",""idle power W"",""stand-by power W"",""idle energy Ws"",""stand-by energy Ws"",""saving Ws"",""Saving %"",""UTILIZATION"",""idle energy KWh"",""sby energy KWh"",""power potential""]","[""Station nr."",""cycle time (s)"",""takt time (s)"",""free cycles (s)"",""available"",""idle time"",""idle power W"",""stand-by power W"",""idle energy Ws"",""stand-by energy Ws"",""saving Ws"",""Saving %"",""UTILIZATION"",""idle energy KWh"",""sby energy KWh"",""power potential"",""10"",""15"",""240"",""210"",""15"",""225"",""61.67"",""43.99"",""20"",""16.442250000000001"",""240"",""210"",""13.557749999999999"",""223.55775"",""52"",""42"",""11625.003000000001"",""9389.4254999999994"",""2235.5775000000012"",""0.1923076923076924"",""3.2291675E-3"",""2.6081737499999997E-3"",""0.19230769230769232"",""30"",""18.559124999999995"",""240"",""210"",""11.440875000000005"",""221.44087500000001"",""57.34"",""46.74"",""12697.419772500001"",""10350.1464975"",""2347.2732750000014"",""0.18486222532263699"",""3.5270610479166669E-3"",""2.8750406937499999E-3"",""0.18486222532263691"",""40"",""240"",""N/A"",""N/A"",""50"",""240"",""60"",""12.414875"",""240"",""210"",""17.585124999999998"",""227.58512500000001"",""87.1"",""76.37"",""19822.664387500001"",""17380.67599625"",""2441.9883912500009"",""0.12319173363949487"",""5.5062956631944443E-3"",""4.8279655545138888E-3"",""0.12319173363949472"",""70"",""15.62825"",""240"",""210"",""14.37175""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,DATI IN AND OUT CORRETTI 20,A1:M23,23,23,129,"[""+(F2-E2)/1000"",""+E2/86400000 + DATE(1970,1,1)"",""+MOD(E2/1000,60)"",""+F2/86400000 + DATE(1970,1,1)"",""+MOD(G2/1000,60)"",""+B2+1"",""+(+E3-E2)/1000/60"",""+(+F3-F2)/1000/60"",""+(F3-E3)/1000"",""+E3/86400000 + DATE(1970,1,1)"",""+MOD(E3/1000,60)"",""+F3/86400000 + DATE(1970,1,1)"",""+MOD(G3/1000,60)"","""",""+(+E4-E3)/1000/60"","""",""+(F4-E4)/1000"",""+E4/86400000 + DATE(1970,1,1)"",""+MOD(E4/1000,60)"",""""]","{""#VALUE!"":1}",2019-05-14T09:32:49.220000Z,2019-05-14T10:55:08.530000Z,"[""Resource"",""Experiment 1302 nr"",""Ordine"",""Posizione"",""Ingresso"",""Uscita"",""Delta ingressi min"",""Delta out min"",""delta fra out e in sec"",""Ingresso"",""Uscita""]","[""Resource"",""Experiment 1302 nr"",""Ordine"",""Posizione"",""Ingresso"",""Uscita"",""Delta ingressi min"",""Delta out min"",""delta fra out e in sec"",""Ingresso"",""Uscita"",""20"",""1"",""4412"",""1"",""1557826369220"",""1557826385216"",""N/A"","" "",""15.996"",""43599.397791898147"",""49.220000028610229"",""43599.397977037035"",""#VALUE!"",""20"",""2"",""4412"",""2"",""1557826669667"",""1557826686174"",""5.0074500000000004"",""5.0159666666666674"",""16.507000000000001"",""43599.401269293987"",""49.66700005531311"",""43599.401460347217"",""5.0074500000000001E-3"",""20"",""3"",""4412"",""3"",""1557826964202"",""1557826980663"",""4.9089166666666673"",""4.90815"",""16.460999999999999"",""43599.404678263891"",""44.20199990272522"",""43599.404868784724"",""4.9089166666666673E-3"",""20"",""4"",""4412"",""4"",""1557827326156"",""1557827342678"",""6.0325666666666669"",""6.0335833333333335"",""16.521999999999998"",""43599.408867546299"",""46.155999898910522"",""43599.409058773148"",""6.0325666666666668E-3"",""20"",""5"",""4413"",""1"",""1557827750129"",""1557827766642"",""7.0662166666666666"",""7.0660666666666669"",""16.513000000000002"",""43599.413774641202"",""50.128999948501587"",""43599.413965763888"",""7.0662166666666665E-3"",""20"",""6"",""4413"",""2""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,PIVOT,A3:D10,8,10,6,"[""+C5/B5"",""+C6/B6"","""","""","""",""""]",{},,,"[""Values""]","[""Values"",""Row Labels"",""Average of Delta Exit-Entry sec"",""StdDev of Delta Exit-Entry sec"",""CV"",""20"",""16.442250000000001"",""0.25608475159583965"",""1.5574799774716942E-2"",""30"",""18.559124999999995"",""0.50753888192612939"",""2.7347134195503803E-2"",""60"",""12.414875"",""0.27478157992602836"",""2.2133253852819973E-2"",""70"",""15.62825"",""3.3153423252106764"",""0.21213778415437917"",""80"",""18.563625000000002"",""0.39824044244632906"",""2.1452730404020175E-2"",""Grand Total"",""16.32162499999999"",""2.7232875579743805"",""0.16685149658654588""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,DATI IN AND OUT ALL STATIONS,A1:R82,82,82,705,"[""+(H2-G2)/1000"",""+G2/86400000 + DATE(1970,1,1)"",""+MOD(G2/1000,60)"",""+H2/86400000 + DATE(1970,1,1)"",""+MOD(H2/1000,60)"",""+A2+1"",""+D2+1"",""+(+G3-G2)/1000/60"",""+(+H3-H2)/1000/60"",""+(H3-G3)/1000"",""+G3/86400000 + DATE(1970,1,1)"",""+MOD(G3/1000,60)"",""+H3/86400000 + DATE(1970,1,1)"",""+MOD(H3/1000,60)"",""+A3+1"","""",""+(+G4-G3)/1000/60"","""",""+(H4-G4)/1000"",""+G4/86400000 + DATE(1970,1,1)""]",{},2019-05-14T09:32:49.220000Z,2019-05-14T10:59:03.605000Z,"[""Id"",""Resource"",""resourceID"",""Experiment-nr"",""OrderNumber"",""OrderPosition"",""EntryAtStation"",""ExitFromStation"",""Experiment-time"",""Delta Entry min"",""Delta Exit min"",""Delta Exit-Entry sec"",""DatetimeEntry"",""DatetimeExit"",""IdleEnergy"",""HH13:02""]","[""Id"",""Resource"",""resourceID"",""Experiment-nr"",""OrderNumber"",""OrderPosition"",""EntryAtStation"",""ExitFromStation"",""Experiment-time"",""Delta Entry min"",""Delta Exit min"",""Delta Exit-Entry sec"",""DatetimeEntry"",""DatetimeExit"",""IdleEnergy"",""HH13:02"",""1"",""20"",""ene2_2:CECC-LK"",""1"",""4412"",""1"",""1557826369220"",""1557826385216"",""\""13:02:00\"""",""N/A"",""N/A"",""15.996"",""43599.397791898147"",""49.220000028610229"",""43599.397977037035"",""5.2160000801086426"",""2"",""20"",""ene2_2:CECC-LK"",""2"",""4412"",""2"",""1557826669667"",""1557826686174"",""\""13:02:00\"""",""5.0074500000000004"",""5.0159666666666674"",""16.507000000000001"",""43599.401269293987"",""49.66700005531311"",""43599.401460347217"",""6.1740000247955322"",""45.29"",""3"",""20"",""ene2_2:CECC-LK"",""3"",""4412"",""3"",""1557826964202"",""1557826980663"",""\""13:02:00\"""",""4.9089166666666673"",""4.90815"",""16.460999999999999"",""43599.404678263891"",""44.20199990272522"",""43599.404868784724"",""0.66300010681152344"",""4"",""20"",""ene2_2:CECC-LK"",""4"",""4412"",""4"",""1557827326156"",""1557827342678"",""\""13:02:00\"""",""6.0325666666666669"",""6.0335833333333335"",""16.521999999999998"",""43599.408867546299"",""46.155999898910522"",""43599.409058773148""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,DATI IN AND OUT 40-50 stima,A1:R100,100,100,848,"[""+(H2-G2)/1000"",""+G2/86400000 + DATE(1970,1,1)"",""+MOD(G2/1000,60)"",""+H2/86400000 + DATE(1970,1,1)"",""+MOD(H2/1000,60)"",""+A2+1"",""+D2+1"",""+(+G3-G2)/1000/60"",""+(+H3-H2)/1000/60"",""+(H3-G3)/1000"",""+G3/86400000 + DATE(1970,1,1)"",""+MOD(G3/1000,60)"",""+H3/86400000 + DATE(1970,1,1)"",""+MOD(H3/1000,60)"",""+A3+1"","""",""+(+G4-G3)/1000/60"","""",""+(H4-G4)/1000"",""+G4/86400000 + DATE(1970,1,1)""]",{},2019-05-14T09:32:49.220000Z,2019-05-14T10:59:03.605000Z,"[""Id"",""Resource"",""resourceID"",""Experiment-nr"",""OrderNumber"",""OrderPosition"",""EntryAtStation"",""ExitFromStation"",""Experiment-time"",""Delta Entry min"",""Delta Exit min"",""Delta Exit-Entry sec"",""DatetimeEntry"",""DatetimeExit"",""IdleEnergy"",""HH13:02""]","[""Id"",""Resource"",""resourceID"",""Experiment-nr"",""OrderNumber"",""OrderPosition"",""EntryAtStation"",""ExitFromStation"",""Experiment-time"",""Delta Entry min"",""Delta Exit min"",""Delta Exit-Entry sec"",""DatetimeEntry"",""DatetimeExit"",""IdleEnergy"",""HH13:02"",""1"",""20"",""ene2_2:CECC-LK"",""1"",""4412"",""1"",""1557826369220"",""1557826385216"",""\""13:02:00\"""",""N/A"",""N/A"",""15.996"",""43599.397791898147"",""49.220000028610229"",""43599.397977037035"",""5.2160000801086426"",""2"",""20"",""ene2_2:CECC-LK"",""2"",""4412"",""2"",""1557826669667"",""1557826686174"",""\""13:02:00\"""",""5.0074500000000004"",""5.0159666666666674"",""16.507000000000001"",""43599.401269293987"",""49.66700005531311"",""43599.401460347217"",""6.1740000247955322"",""45.29"",""3"",""20"",""ene2_2:CECC-LK"",""3"",""4412"",""3"",""1557826964202"",""1557826980663"",""\""13:02:00\"""",""4.9089166666666673"",""4.90815"",""16.460999999999999"",""43599.404678263891"",""44.20199990272522"",""43599.404868784724"",""0.66300010681152344"",""4"",""20"",""ene2_2:CECC-LK"",""4"",""4412"",""4"",""1557827326156"",""1557827342678"",""\""13:02:00\"""",""6.0325666666666669"",""6.0335833333333335"",""16.521999999999998"",""43599.408867546299"",""46.155999898910522"",""43599.409058773148""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,Energy saving calculations,A1:P19,17,19,71,"[""+C2/8*7"",""+C2/8-B2"",""+E2+D2"",""+G2*F2"",""+H2*F2"",""+I2-J2"",""+(+I2-J2)/I2"",""+(G2-H2)/G2"",""+PIVOT!B5"",""+C3/8*7"",""+C3/8-B3"",""+E3+D3"",""+G3*F3"",""+H3*F3"",""+I3-J3"",""+(+I3-J3)/I3"",""+(G3-H3)/G3"",""+PIVOT!B6"",""+C4/8*7"",""+C4/8-B4""]","{""#VALUE!"":1,""#DIV/0!"":1}",,,"[""Station nr."",""cycle time (s)"",""takt time (s)"",""free cycles (s)"",""available"",""idle time"",""idle power W"",""stand-by power W"",""idle energy Ws"",""stand-by energy Ws"",""saving Ws"",""Saving %"",""UTILIZATION"",""idle energy KWh"",""sby energy KWh"",""power potential""]","[""Station nr."",""cycle time (s)"",""takt time (s)"",""free cycles (s)"",""available"",""idle time"",""idle power W"",""stand-by power W"",""idle energy Ws"",""stand-by energy Ws"",""saving Ws"",""Saving %"",""UTILIZATION"",""idle energy KWh"",""sby energy KWh"",""power potential"",""10"",""15"",""240"",""210"",""15"",""225"",""61.67"",""43.99"",""13875.75"",""9897.75"",""3978"",""0.28668720609696774"",""0.28668720609696774"",""20"",""16.442250000000001"",""240"",""210"",""13.557749999999999"",""223.55775"",""52"",""42"",""11625.003000000001"",""9389.4254999999994"",""2235.5775000000012"",""0.1923076923076924"",""0.19230769230769232"",""30"",""18.559124999999995"",""240"",""210"",""11.440875000000005"",""221.44087500000001"",""57.34"",""46.74"",""12697.419772500001"",""10350.1464975"",""2347.2732750000014"",""0.18486222532263699"",""0.18486222532263691"",""40"",""240"",""N/A"",""N/A"",""#VALUE!"",""50"",""240"",""#DIV/0!"",""60"",""12.414875"",""240"",""210"",""17.585124999999998"",""227.58512500000001"",""87.1"",""76.37"",""19822.664387500001"",""17380.67599625"",""2441.9883912500009"",""0.12319173363949487"",""0.12319173363949472"",""70"",""15.62825"",""240"",""210""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,Ciclo lav drill bool,A1:S16,16,16,0,[],{},2019-05-14T10:55:09.132000Z,2019-05-14T10:55:26.611000Z,"[""ResourceID"",""timestamp"",""Busy"",""RFID"",""Done"",""StationEntry"",""ReadyAtStation"",""StationExit"",""Pwr"",""Pressure"",""AirFlow""]","[""ResourceID"",""timestamp"",""Busy"",""RFID"",""Done"",""StationEntry"",""ReadyAtStation"",""StationExit"",""Pwr"",""Pressure"",""AirFlow"",""mes30_3:plcDrillingCPS"",""1557831309132"",""0"",""0"",""1"",""1"",""0"",""0"",""302"",""4415"",""5"",""5"",""3"",""210"",""mes20_3:plcMagazineFront"",""1557831309540"",""0"",""0"",""1"",""0"",""0"",""0"",""122"",""4415"",""5"",""3"",""4"",""210"",""mes30_3:plcDrillingCPS"",""1557831310136"",""0"",""0"",""1"",""0"",""0"",""0"",""302"",""4415"",""5"",""5"",""3"",""210"",""mes30_3:plcDrillingCPS"",""1557831312116"",""0"",""1"",""1"",""0"",""0"",""0"",""302"",""4415"",""5"",""5"",""3"",""210"",""mes30_3:plcDrillingCPS"",""1557831312143"",""0"",""1"",""1"",""0"",""1"",""0"",""302"",""4415"",""5"",""5"",""3""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,Ciclo lav drill no boolManual ,A1:Q25,25,25,0,[],{},2019-05-14T10:55:09.132000Z,2019-05-14T10:55:26.611000Z,"[""ResourceID"",""timestamp"",""Busy"",""RFID"",""Done"",""StationEntry"",""ReadyAtStation"",""StationExit"",""Pwr"",""Flow"",""ord no"",""Opos""]","[""ResourceID"",""timestamp"",""Busy"",""RFID"",""Done"",""StationEntry"",""ReadyAtStation"",""StationExit"",""Pwr"",""Flow"",""ord no"",""Opos"",""mes30_3:plcDrillingCPS"",""1557831309132"",""0"",""0"",""1"",""1"",""0"",""0"",""47.32"",""0.36"",""302"",""4415"",""5"",""5"",""3"",""210"",""mes30_3:plcDrillingCPS"",""1557831309540"",""0"",""0"",""1"",""0"",""0"",""0"",""51.347999999999999"",""0.36"",""mes20_3:plcMagazineFront"",""1557831309911"",""0"",""0"",""1"",""0"",""0"",""0"",""51.347999999999999"",""0.36"",""122"",""4415"",""5"",""3"",""4"",""210"",""mes30_3:plcDrillingCPS"",""1557831309924"",""0"",""0"",""1"",""0"",""0"",""0"",""51.347999999999999"",""0.36"",""mes30_3:plcDrillingCPS"",""1557831309927"",""0"",""0"",""1"",""0"",""0"",""0"",""51.347999999999999"",""0.36"",""mes30_3:plcDrillingCPS"",""1557831310136"",""0"",""0"",""1"",""0""]"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,Ciclo lav drill SQL,A1:J64,64,64,0,[],{},2019-05-14T10:55:09.132000Z,2019-05-14T10:55:26.611000Z,"[""ResourceID"",""ts"",""ActivePowerL1"",""Flow"",""OrderNo"",""Busy"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""StationExitxBG6"",""Average""]","[""ResourceID"",""ts"",""ActivePowerL1"",""Flow"",""OrderNo"",""Busy"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""StationExitxBG6"",""Average"",""mes30_3:plcDrillingCPS"",""1557831309132"",""4415"",""0"",""1"",""0"",""0"",""ene3_2:CECC-LK"",""1557831309911"",""51.348007202148402"",""0.36476832599999998"",""ene3_2:CECC-LK"",""1557831309924"",""51.348007201999998"",""0.36476832599999998"",""ene3_2:CECC-LK"",""1557831309927"",""51.348007201999998"",""0.319416463375091"",""mes30_3:plcDrillingCPS"",""1557831310136"",""4415"",""0"",""0"",""0"",""0"",""ene3_2:CECC-LK"",""1557831310844"",""56.793609619140597"",""0.31941646299999998"",""ene3_2:CECC-LK"",""1557831310850"",""56.793609619000001"",""0.318745017051696"",""ene3_2:CECC-LK"",""1557831310874"",""56.793609619000001"",""0.31874501700000002"",""ene3_2:CECC-LK"",""1557831311841"",""56.793609619000001"",""0.31874501700000002"",""ene3_2:CECC-LK"",""1557831311904"",""56.793609619000001"",""0.30788013339042603"",""ene3_2:CECC-LK"",""1557831311905"",""57.406803131103501"",""0.307880133"",""mes30_3:plcDrillingCPS"",""1557831312116"",""4415"",""0"",""0"",""0"",""0"",""mes30_3:plcDrillingCPS"",""1557831312143"",""4415"",""0"",""0"",""1"",""0"",""mes30_3:plcDrillingCPS"",""1557831312632"",""4415"",""0"",""0"",""1""]"
