relative_path,experiment,table,columns,row_count,duplicate_rows,duplicate_timestamps_per_resource,timestamp_order_inversions,timestamp_start_utc,timestamp_end_utc,sampling_interval_ms,resource_ids,missing_by_column,numeric_ranges
Exp20190124/dump_20190124_1035.sql,Exp20190124,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190124/dump_20190124_1035.sql,Exp20190124,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",682,0,0,1,2019-01-24T09:17:10.283000Z,2019-01-24T09:31:04.232000Z,"{""median_ms"":502.5,""p10_ms"":5,""p90_ms"":3476}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes50_3:plcRobotAssembly"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":24,""ReadyAtStationxBG1"":24,""DoneWorkingxBG9"":682,""StationExitxBG6"":24,""OperationNo"":0,""WorkPlanNo"":682,""OrderNo"":0,""StepNo"":682,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190124/dump_20190124_1035.sql,Exp20190124,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",22203,0,0,1,2019-01-24T09:13:21.693000Z,2019-01-24T09:35:54.584000Z,"{""median_ms"":68,""p10_ms"":9,""p90_ms"":973}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene5_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":11.047082901,""max"":91.07776641845703},""Flow"":{""min"":0.0,""max"":7.835927963256836},""Pressure"":{""min"":5.639855861663818,""max"":5.965649605}}"
Exp20190124/dump_20190124_1035.sql,Exp20190124,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190124/dump_20190124_1102.sql,Exp20190124,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190124/dump_20190124_1102.sql,Exp20190124,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",524,0,0,0,2019-01-24T09:47:31.704000Z,2019-01-24T10:00:24.185000Z,"{""median_ms"":500,""p10_ms"":5,""p90_ms"":3402}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes50_3:plcRobotAssembly"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":24,""ReadyAtStationxBG1"":24,""DoneWorkingxBG9"":524,""StationExitxBG6"":24,""OperationNo"":0,""WorkPlanNo"":524,""OrderNo"":0,""StepNo"":524,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190124/dump_20190124_1102.sql,Exp20190124,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",18084,0,0,0,2019-01-24T09:44:31.301000Z,2019-01-24T10:02:33.406000Z,"{""median_ms"":63,""p10_ms"":9,""p90_ms"":967}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene5_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":11.004965782,""max"":90.751777649},""Flow"":{""min"":0.0,""max"":8.192395210266113},""Pressure"":{""min"":5.6495361328125,""max"":5.963000297546387}}"
Exp20190124/dump_20190124_1102.sql,Exp20190124,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190320/dump_20190320_1641.sql,Exp20190320,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190320/dump_20190320_1641.sql,Exp20190320,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",405,0,0,0,2019-03-20T14:45:33.954000Z,2019-03-20T15:03:48.603000Z,"{""median_ms"":533,""p10_ms"":4,""p90_ms"":4998}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":405,""StationExitxBG6"":0,""OperationNo"":0,""WorkPlanNo"":405,""OrderNo"":0,""StepNo"":405,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
