experiment_id,station_id,station_name,boundary_source,unique_plc_timestamps,positive_gap_count,rule,upper_tail_quantile,upper_tail_floor_ms,minimum_separation_ratio,largest_tail_separation_ratio,gap_below_jump_ms,gap_above_jump_ms,session_gap_threshold_ms,boundary_count,boundary_after_epoch_ms,boundary_gap_ms,gap_min_ms,gap_p01_ms,gap_p10_ms,gap_p25_ms,gap_p50_ms,gap_p75_ms,gap_p90_ms,gap_p95_ms,gap_p99_ms,gap_max_ms,local_boundary_count,synchronized_boundary_count
Exp20190124,10,Manual,tblOperationLog,244,243,largest_multiplicative_jump_in_upper_tail,0.95,66854.89999999997,2.0,6.884857142857143,143500.0,987977.0,376529.8122327102,2,"[1548322263727, 1548323262205]",[987977],1.0,1.0,5.0,12.0,504.0,2016.5,3082.8,66854.89999999997,136132.31999999992,987977.0,1,1
Exp20190124,20,MagazineFront,tblOperationLog,197,196,largest_multiplicative_jump_in_upper_tail,0.95,76132.25,2.0,6.411264236242854,155501.0,996958.0,393735.90890087734,2,"[1548322264232, 1548323279191]",[996958],1.0,2.0,6.5,20.0,766.0,2524.0,3504.0,76132.25,146938.6500000001,996958.0,1,1
Exp20190124,30,DrillingCPS,tblOperationLog,189,188,largest_multiplicative_jump_in_upper_tail,0.95,62324.900000000096,2.0,7.08429857591432,153502.0,1087454.0,408566.2295246635,1,[1548322190754],[1087454],1.0,1.0,4.699999999999999,17.75,499.0,2463.5,5963.1,62324.900000000096,151330.47999999998,1087454.0,1,0
Exp20190124,50,RobotAssembly,tblOperationLog,48,47,largest_multiplicative_jump_in_upper_tail,0.95,166101.29999999996,2.0,7.49693567251462,171000.0,1281976.0,468207.1080195174,1,[1548322047764],[1281976],3.0,3.0,5.0,8.5,472.0,948.0,155504.4,166101.29999999996,770927.0399999991,1281976.0,1,0
Exp20190124,60,CameraInspection,tblOperationLog,176,175,largest_multiplicative_jump_in_upper_tail,0.95,39197.99999999985,2.0,4.937478743906587,246988.0,1219498.0,548818.1593424183,1,[1548322217841],[1219498],1.0,1.0,4.400000000000002,20.5,516.0,2007.0,2512.8,39197.99999999985,178957.57999999917,1219498.0,1,0
Exp20190124,70,MagazineBack,tblOperationLog,174,173,largest_multiplicative_jump_in_upper_tail,0.95,40095.00000000008,2.0,4.891704967739097,249993.0,1222892.0,552914.4958815965,1,[1548322227795],[1222892],1.0,1.0,4.199999999999999,13.0,489.0,2630.0,3463.8000000000006,40095.00000000008,179429.4000000001,1222892.0,1,0
Exp20190124,80,Press,tblOperationLog,178,177,largest_multiplicative_jump_in_upper_tail,0.95,43450.799999999836,2.0,4.783732991973106,257011.0,1229472.0,562127.94646059,1,[1548322238489],[1229472],1.0,2.0,6.600000000000001,20.0,615.0,2455.0,5895.400000000001,43450.799999999836,175298.08000000098,1229472.0,1,0
Exp20190320,10,Manual,tblOperationLog,157,156,largest_multiplicative_jump_in_upper_tail,0.95,70770.75,2.0,13.925117838573303,267527.0,3725345.0,998313.7642119335,2,"[1553093943030, 1553094228603]",[3725345],1.0,1.55,5.0,23.5,934.0,2373.0,4754.5,70770.75,266131.64999999997,3725345.0,1,1
Exp20190320,20,MagazineFront,tblOperationLog,182,181,largest_multiplicative_jump_in_upper_tail,0.95,22502.0,2.0,16.152328809439613,246027.0,3973909.0,988781.5277112533,2,"[1553093703810, 1553093988322]",[3973909],1.0,1.0,4.0,17.0,985.0,2970.0,8459.0,22502.0,240006.9999999999,3973909.0,1,1
Exp20190320,30,DrillingCPS,tblOperationLog,98,97,largest_multiplicative_jump_in_upper_tail,0.95,17821.99999999936,2.0,15.074757664776566,263478.0,3971867.0,1022985.6174091599,2,"[1553093722509, 1553094006998]",[3971867],2.0,2.96,4.0,13.0,974.0,2473.0,5952.200000000001,17821.99999999936,411813.5599999705,3971867.0,1,1
Exp20190320,60,CameraInspection,tblOperationLog,96,95,largest_multiplicative_jump_in_upper_tail,0.95,23687.5999999998,2.0,14.8000602194665,269016.0,3981453.0,1034927.3212395158,2,"[1553093874743, 1553094157238]",[3981453],1.0,1.0,4.0,18.0,524.0,1990.5,2501.4,23687.5999999998,491762.22000000847,3981453.0,1,1
Exp20190320,70,MagazineBack,tblOperationLog,98,97,largest_multiplicative_jump_in_upper_tail,0.95,16981.999999999258,2.0,14.984152814033818,265473.0,3977888.0,1027629.2429782251,2,"[1553093891250, 1553094174252]",[3977888],1.0,1.0,4.0,13.0,438.0,2945.0,3503.4,16981.999999999258,413969.59999997047,3977888.0,1,1
Exp20190320,80,Press,tblOperationLog,96,95,largest_multiplicative_jump_in_upper_tail,0.95,24825.89999999983,2.0,15.200653164866766,261496.0,3974910.0,1019520.9979985699,2,"[1553093912190, 1553094194179]",[3974910],1.0,1.0,6.4,27.5,520.0,2470.5,6191.800000000004,24825.89999999983,484300.84000000847,3974910.0,1,1
Exp20190416,10,Manual,tblOperationLog,4364,4363,largest_multiplicative_jump_in_upper_tail,0.95,4046.3999999999905,2.0,4.412850215517241,2583552.0,11400828.0,5427212.17394861,2,"[1555400113616, 1555406184042]",[11400828],1.0,1.0,4.0,11.5,492.0,1504.0,2527.6000000000004,4046.3999999999905,116763.06000000022,11400828.0,1,1
Exp20190416,20,MagazineFront,tblOperationLog,2708,2707,largest_multiplicative_jump_in_upper_tail,0.95,3470.0,2.0,3.9114279263785834,659971.0,2581429.0,1305246.4436109373,3,"[1555400123526, 1555406182777, 1555417603961]","[2581429, 11410186, 3819949]",1.0,1.0,4.0,14.0,499.0,1563.5,2985.4,3470.0,234490.64,11410186.0,3,0
Exp20190416,30,DrillingCPS,tblOperationLog,4197,4196,largest_multiplicative_jump_in_upper_tail,0.95,3011.75,2.0,4.42530474983004,2591798.0,11469496.0,5452212.100955721,2,"[1555400123149, 1555406134301]",[11469496],1.0,1.0,4.0,12.0,492.5,1563.25,2495.0,3011.75,83955.85000000345,11469496.0,1,1
Exp20190416,50,RobotAssembly,tblOperationLog,214,213,largest_multiplicative_jump_in_upper_tail,0.95,299688.59999999974,2.0,1.5256474844855619,524028.0,799482.0,,0,[],[],1.0,1.0,5.0,9.0,476.0,953.0,253365.4,299688.59999999974,506743.67999999935,877494.0,0,0
Exp20190416,60,CameraInspection,tblOperationLog,4200,4199,largest_multiplicative_jump_in_upper_tail,0.95,2536.1,2.0,4.338384386285323,2682411.0,11637330.0,5587137.192035829,2,"[1555400046334, 1555406166104]",[11637330],1.0,1.0,4.0,13.0,500.0,1993.0,2489.0,2536.1,146107.93999998554,11637330.0,1,1
Exp20190416,70,MagazineBack,tblOperationLog,4159,4158,largest_multiplicative_jump_in_upper_tail,0.95,3478.1499999999996,2.0,4.339110723093853,2682584.0,11640029.0,5587965.242817461,2,"[1555400056335, 1555406176271]",[11640029],1.0,1.0,4.0,10.0,488.0,2014.75,2997.0,3478.1499999999996,158646.9700000089,11640029.0,1,1
Exp20190416,80,Press,tblOperationLog,4170,4169,largest_multiplicative_jump_in_upper_tail,0.95,3031.6,2.0,4.35041965407636,2676371.0,11643337.0,5582283.537229814,2,"[1555400072943, 1555406183655]",[11643337],1.0,1.0,4.0,13.0,503.0,1998.0,2524.2000000000003,3031.6,154793.0399999911,11643337.0,1,1
Exp20190514,10,Manual,tblOperationLog,772,771,largest_multiplicative_jump_in_upper_tail,0.95,157489.5,2.0,1.8253184621592022,346980.0,633349.0,,1,[1557821084542],[],1.0,1.0,4.0,18.5,507.0,2039.5,3063.0,157489.5,264977.0,633349.0,0,1
Exp20190514,20,MagazineFront,tblOperationLog,642,641,largest_multiplicative_jump_in_upper_tail,0.95,234522.0,2.0,1.9312641075459298,559984.0,1081477.0,,2,"[1557820855389, 1557825372242]",[],1.0,1.0,5.0,18.0,940.0,2506.0,3453.0,234522.0,348204.0000000001,1081477.0,0,2
Exp20190514,30,DrillingCPS,tblOperationLog,609,608,largest_multiplicative_jump_in_upper_tail,0.95,232825.25,2.0,1.9359962839213238,557577.0,1079467.0,,2,"[1557820874540, 1557825391894]",[],1.0,1.0,4.700000000000003,18.0,756.0,2464.75,6406.300000000001,232825.25,409964.17999999964,1079467.0,0,2
Exp20190514,50,RobotAssembly,tblOperationLog,106,105,largest_multiplicative_jump_in_upper_tail,0.95,349268.9999999999,2.0,1.169153318077803,360525.0,421509.0,,0,[],[],1.0,1.04,4.4,11.0,405.0,955.0,285481.00000000006,349268.9999999999,437420.95999999996,444462.0,0,0
Exp20190514,60,CameraInspection,tblOperationLog,610,609,largest_multiplicative_jump_in_upper_tail,0.95,239096.40000000002,2.0,2.040278776387148,471489.0,961969.0,673467.0013007319,2,"[1557821028299, 1557825546098]",[961969],1.0,1.0,5.0,14.0,505.0,2005.0,2506.0,239096.40000000002,405773.7599999981,961969.0,1,1
Exp20190514,70,MagazineBack,tblOperationLog,615,614,largest_multiplicative_jump_in_upper_tail,0.95,235258.00000000003,2.0,2.0557011019669216,464533.0,954941.0,666034.2390245415,2,"[1557821045109, 1557825562918]",[954941],1.0,1.0,5.0,13.0,486.5,2943.75,3475.9000000000005,235258.00000000003,399856.00000000023,954941.0,1,1
Exp20190514,80,Press,tblOperationLog,615,614,largest_multiplicative_jump_in_upper_tail,0.95,232475.55,2.0,2.0778445614073644,455035.0,945492.0,655920.6904954287,2,"[1557821065024, 1557825582847]",[945492],1.0,1.0,5.0,17.25,530.5,2487.75,5984.8,232475.55,396947.7400000002,945492.0,1,1
Exp20190617,10,Manual,tblOperationLog,845,844,largest_multiplicative_jump_in_upper_tail,0.95,22665.29999999982,2.0,12.208121259382688,571931.0,6982203.0,1998333.892019299,1,[1560766007967],[6982203],1.0,1.0,4.0,11.75,494.0,1989.75,2984.1000000000004,22665.29999999982,252345.6199999999,6982203.0,1,0
Exp20190617,20,MagazineFront,tblOperationLog,670,669,largest_multiplicative_jump_in_upper_tail,0.95,3964.6,2.0,9.216511175659708,812480.0,7488231.0,2466584.2622703975,1,[1560765544301],[7488231],1.0,1.0,5.0,17.0,492.0,1988.0,3007.2000000000003,3964.6,453182.8800000011,7488231.0,1,0
Exp20190617,30,DrillingCPS,tblOperationLog,683,682,largest_multiplicative_jump_in_upper_tail,0.95,6501.75,2.0,8.985746947330167,803477.0,7219841.0,2408521.577058632,1,[1560765554674],[7219841],1.0,1.0,6.0,16.0,487.5,1964.75,2589.4999999999995,6501.75,447430.5699999991,7219841.0,1,0
Exp20190617,50,RobotAssembly,tblOperationLog,182,181,largest_multiplicative_jump_in_upper_tail,0.95,290642.0,2.0,5.993307163690782,1205468.0,7224740.0,2951134.168132652,1,[1560765585005],[7224740],1.0,1.0,4.0,10.0,456.0,952.0,12508.0,290642.0,1081903.1999999983,7224740.0,1,0
Exp20190617,60,CameraInspection,tblOperationLog,658,657,largest_multiplicative_jump_in_upper_tail,0.95,24100.599999999453,2.0,7.250763903663346,972963.0,7054725.0,2619921.067546692,1,[1560765872666],[7054725],1.0,1.0,5.0,16.0,497.0,2003.0,2508.0,24100.599999999453,349413.4399999982,7054725.0,1,0
