experiment_id,table,ordinary_file,new_file,ordinary_schema_names,new_schema_names,columns_equal,ordinary_rows,new_rows,logical_payload_equal,only_in_ordinary,only_in_new,difference_class
Exp20190320,tblMachineReport,Exp20190320/dump_20190320_1718.sql,Exp20190320/dump_20190320_1718_new.sql,"[""polimi""]","[""polimi1""]",True,0,0,True,0,0,schema_name_only
Exp20190320,tblOperationLog,Exp20190320/dump_20190320_1718.sql,Exp20190320/dump_20190320_1718_new.sql,"[""polimi""]","[""polimi1""]",True,727,727,True,0,0,schema_name_only
Exp20190320,tblPowerLog,Exp20190320/dump_20190320_1718.sql,Exp20190320/dump_20190320_1718_new.sql,"[""polimi""]","[""polimi1""]",True,86189,86189,True,0,0,schema_name_only
Exp20190320,tblSensorsLog,Exp20190320/dump_20190320_1718.sql,Exp20190320/dump_20190320_1718_new.sql,"[""polimi""]","[""polimi1""]",True,0,0,True,0,0,schema_name_only
Exp20190416,tblMachineReport,Exp20190416/dump_20190416_1116.sql,Exp20190416/dump_20190416_1116_new.sql,"[""polimi""]","[""polimi1116""]",True,0,0,True,0,0,schema_name_only
Exp20190416,tblOperationLog,Exp20190416/dump_20190416_1116.sql,Exp20190416/dump_20190416_1116_new.sql,"[""polimi""]","[""polimi1116""]",True,11916,11916,True,0,0,schema_name_only
Exp20190416,tblPowerLog,Exp20190416/dump_20190416_1116.sql,Exp20190416/dump_20190416_1116_new.sql,"[""polimi""]","[""polimi1116""]",True,64767,64767,True,0,0,schema_name_only
Exp20190416,tblSensorsLog,Exp20190416/dump_20190416_1116.sql,Exp20190416/dump_20190416_1116_new.sql,"[""polimi""]","[""polimi1116""]",True,0,0,True,0,0,schema_name_only
Exp20190416,tblMachineReport,Exp20190416/dump_20190416_1807.sql,Exp20190416/dump_20190416_1807_new.sql,"[""polimi""]","[""polimi1807""]",True,0,0,True,0,0,schema_name_only
Exp20190416,tblOperationLog,Exp20190416/dump_20190416_1807.sql,Exp20190416/dump_20190416_1807_new.sql,"[""polimi""]","[""polimi1807""]",True,2160,2160,True,0,0,schema_name_only
Exp20190416,tblPowerLog,Exp20190416/dump_20190416_1807.sql,Exp20190416/dump_20190416_1807_new.sql,"[""polimi""]","[""polimi1807""]",True,96171,96171,True,0,0,schema_name_only
Exp20190416,tblSensorsLog,Exp20190416/dump_20190416_1807.sql,Exp20190416/dump_20190416_1807_new.sql,"[""polimi""]","[""polimi1807""]",True,0,0,True,0,0,schema_name_only
Exp20190514,tblMachineReport,Exp20190514/dump_20190514_1302.sql,Exp20190514/dump_20190514_1302_new.sql,"[""polimi""]","[""polimi1302""]",True,0,0,True,0,0,schema_name_only
Exp20190514,tblOperationLog,Exp20190514/dump_20190514_1302.sql,Exp20190514/dump_20190514_1302_new.sql,"[""polimi""]","[""polimi1302""]",True,2000,2000,True,0,0,schema_name_only
Exp20190514,tblPowerLog,Exp20190514/dump_20190514_1302.sql,Exp20190514/dump_20190514_1302_new.sql,"[""polimi""]","[""polimi1302""]",True,93969,93969,True,0,0,schema_name_only
Exp20190514,tblSensorsLog,Exp20190514/dump_20190514_1302.sql,Exp20190514/dump_20190514_1302_new.sql,"[""polimi""]","[""polimi1302""]",True,0,0,True,0,0,schema_name_only
Exp20190617,tblMachineReport,Exp20190617/dump_20190617_1209.sql,Exp20190617/dump_20190617_1209_new.sql,"[""polimi""]","[""polimi1209""]",True,0,0,True,0,0,schema_name_only
Exp20190617,tblOperationLog,Exp20190617/dump_20190617_1209.sql,Exp20190617/dump_20190617_1209_new.sql,"[""polimi""]","[""polimi1209""]",True,3749,3749,True,0,0,schema_name_only
Exp20190617,tblPowerLog,Exp20190617/dump_20190617_1209.sql,Exp20190617/dump_20190617_1209_new.sql,"[""polimi""]","[""polimi1209""]",True,123512,123512,True,0,0,schema_name_only
Exp20190617,tblSensorsLog,Exp20190617/dump_20190617_1209.sql,Exp20190617/dump_20190617_1209_new.sql,"[""polimi""]","[""polimi1209""]",True,0,0,True,0,0,schema_name_only
