table,experiment_id,station_id,station_name,session_id,observations,first_timestamp_utc,last_timestamp_utc,duration_seconds,observations_per_second,delta_mean_ms,delta_std_ms,delta_min_ms,delta_p01_ms,delta_p10_ms,delta_p25_ms,delta_p50_ms,delta_p75_ms,delta_p90_ms,delta_p95_ms,delta_p99_ms,delta_max_ms,zero_delta_count,negative_delta_count_after_canonical_sort,burst_gap_count_le_100ms
tblPowerLog,Exp20190124,10,Manual,Exp20190124-S10-001,1839,2019-01-24 09:17:10.404000+00:00,2019-01-24 09:31:03.411000+00:00,833.007,2.2076645214265906,453.21381936887923,463.53088730831513,1.0,2.0,9.0,22.0,76.0,950.0,991.0,1024.1499999999999,1060.0,1310.0,0,0,993
tblPowerLog,Exp20190124,10,Manual,Exp20190124-S10-002,23,2019-01-24 09:47:32.334000+00:00,2019-01-24 09:47:41.374000+00:00,9.04,2.5442477876106198,410.90909090909093,473.47377954161294,8.0,8.0,9.1,18.75,46.5,946.5,974.0,976.9,1088.3899999999999,1118.0,0,0,13
tblPowerLog,Exp20190124,10,Manual,Exp20190124-S10-003,1381,2019-01-24 09:50:00.290000+00:00,2019-01-24 10:00:23.316000+00:00,623.026,2.2166009123214763,451.468115942029,458.43789972271765,1.0,3.0,13.0,28.0,74.0,949.0,970.0,1004.05,1043.42,1087.0,0,0,753
tblPowerLog,Exp20190124,10,Manual,,1921,2019-01-24 09:13:21.694000+00:00,2019-01-24 10:02:33.406000+00:00,2951.712,0.6508087509892564,1537.35,26535.1721550271,1.0,2.0,14.0,32.75,855.0,956.0,995.0,1031.05,1069.4299999999998,834822.0,0,0,934
tblPowerLog,Exp20190124,20,MagazineFront,Exp20190124-S20-001,1685,2019-01-24 09:17:21.180000+00:00,2019-01-24 09:31:04.165000+00:00,822.985,2.047424922689964,488.708432304038,462.2779101528077,1.0,2.0,12.0,31.0,104.0,951.0,992.7,1035.0,1072.5300000000007,1158.0,0,0,837
tblPowerLog,Exp20190124,20,MagazineFront,Exp20190124-S20-002,43,2019-01-24 09:47:42.170000+00:00,2019-01-24 09:47:59.165000+00:00,16.995,2.5301559282141803,404.64285714285717,467.17907056301806,1.0,1.4100000000000001,7.200000000000001,18.25,48.0,940.25,969.6,1048.8,1067.08,1072.0,0,0,25
tblPowerLog,Exp20190124,20,MagazineFront,Exp20190124-S20-003,890,2019-01-24 09:50:26.202000+00:00,2019-01-24 09:57:38.192000+00:00,431.99,2.060232875761013,485.92800899887516,462.4915088002809,1.0,2.0,14.0,32.0,92.0,952.0,976.2,1034.1999999999998,1059.3600000000001,1088.0,0,0,449
tblPowerLog,Exp20190124,20,MagazineFront,,2268,2019-01-24 09:13:22.177000+00:00,2019-01-24 10:02:33.173000+00:00,2950.996,0.7685540746242964,1301.718570798412,22370.75058565141,1.0,2.0,14.0,34.0,881.0,953.0,1000.0,1042.0,1100.0,824951.0,0,0,1087
tblPowerLog,Exp20190124,30,DrillingCPS,Exp20190124-S30-001,2198,2019-01-24 09:17:37.513000+00:00,2019-01-24 09:29:50.576000+00:00,733.063,2.9983780384496286,333.66545289030495,434.515143971487,1.0,2.0,6.0,15.0,38.0,923.0,958.0,973.0,1050.0,1157.0,0,0,1453
tblPowerLog,Exp20190124,30,DrillingCPS,Exp20190124-S30-002,1760,2019-01-24 09:47:58.517000+00:00,2019-01-24 09:57:47.531000+00:00,589.014,2.9880444267878183,334.85730528709496,437.05064307191185,1.0,1.0,4.800000000000011,13.0,36.0,928.0,958.0,969.0999999999999,1048.2600000000002,1108.0,0,0,1163
