experiment_id,station_id,station_name,session_gap_threshold_ms,boundary_count,session_count
Exp20190124,10,Manual,376529.8122327102,2,3
Exp20190124,20,MagazineFront,393735.90890087734,2,3
Exp20190124,30,DrillingCPS,408566.2295246635,1,2
Exp20190124,50,RobotAssembly,468207.1080195174,1,2
Exp20190124,60,CameraInspection,548818.1593424183,1,2
Exp20190124,70,MagazineBack,552914.4958815965,1,2
Exp20190124,80,Press,562127.94646059,1,2
Exp20190320,10,Manual,998313.7642119335,2,3
Exp20190320,20,MagazineFront,988781.5277112533,2,3
Exp20190320,30,DrillingCPS,1022985.6174091599,2,3
Exp20190320,60,CameraInspection,1034927.3212395158,2,3
Exp20190320,70,MagazineBack,1027629.2429782251,2,3
Exp20190320,80,Press,1019520.9979985699,2,3
Exp20190416,10,Manual,5427212.17394861,2,3
Exp20190416,20,MagazineFront,1305246.4436109373,3,4
Exp20190416,30,DrillingCPS,5452212.100955721,2,3
Exp20190416,50,RobotAssembly,,0,1
Exp20190416,60,CameraInspection,5587137.192035829,2,3
Exp20190416,70,MagazineBack,5587965.242817461,2,3
Exp20190416,80,Press,5582283.537229814,2,3
Exp20190514,10,Manual,,1,2
Exp20190514,20,MagazineFront,,2,3
Exp20190514,30,DrillingCPS,,2,3
Exp20190514,50,RobotAssembly,,0,1
Exp20190514,60,CameraInspection,673467.0013007319,2,3
Exp20190514,70,MagazineBack,666034.2390245415,2,3
Exp20190514,80,Press,655920.6904954287,2,3
Exp20190617,10,Manual,1998333.892019299,1,2
Exp20190617,20,MagazineFront,2466584.2622703975,1,2
Exp20190617,30,DrillingCPS,2408521.577058632,1,2
Exp20190617,50,RobotAssembly,2951134.168132652,1,2
Exp20190617,60,CameraInspection,2619921.067546692,1,2
Exp20190617,70,MagazineBack,2614350.230503557,1,2
Exp20190617,80,Press,2545632.325395009,1,2
