experiment_id,table,row_count
Exp20190124,tblMachineReport,0
Exp20190124,tblOperationLog,1206
Exp20190124,tblPowerLog,40287
Exp20190124,tblSensorsLog,0
Exp20190320,tblMachineReport,0
Exp20190320,tblOperationLog,1859
Exp20190320,tblPowerLog,229779
Exp20190320,tblSensorsLog,0
Exp20190416,tblMachineReport,0
Exp20190416,tblOperationLog,38088
Exp20190416,tblPowerLog,476811
Exp20190416,tblSensorsLog,0
Exp20190514,tblMachineReport,0
Exp20190514,tblOperationLog,5969
Exp20190514,tblPowerLog,274002
Exp20190514,tblSensorsLog,0
Exp20190617,tblMachineReport,0
Exp20190617,tblOperationLog,10742
Exp20190617,tblPowerLog,362013
Exp20190617,tblSensorsLog,0
