experiment_id,station_id,station_name,power_rows,operation_rows,power_only,operation_only
Exp20190124,10,Manual,5164,244,False,False
Exp20190124,20,MagazineFront,4886,197,False,False
Exp20190124,30,DrillingCPS,7243,189,False,False
Exp20190124,50,RobotAssembly,7196,48,False,False
Exp20190124,60,CameraInspection,5193,176,False,False
Exp20190124,70,MagazineBack,5043,174,False,False
Exp20190124,80,Press,5562,178,False,False
Exp20190320,10,Manual,13290,157,False,False
Exp20190320,20,MagazineFront,13106,182,False,False
Exp20190320,30,DrillingCPS,19680,98,False,False
Exp20190320,60,CameraInspection,13312,96,False,False
Exp20190320,70,MagazineBack,13144,98,False,False
Exp20190320,80,Press,13657,96,False,False
Exp20190416,10,Manual,41058,4364,False,False
Exp20190416,20,MagazineFront,32045,2708,False,False
Exp20190416,30,DrillingCPS,54179,4197,False,False
Exp20190416,50,RobotAssembly,54906,214,False,False
Exp20190416,60,CameraInspection,41226,4200,False,False
Exp20190416,70,MagazineBack,38253,4159,False,False
Exp20190416,80,Press,54206,4170,False,False
Exp20190514,10,Manual,26001,772,False,False
Exp20190514,20,MagazineFront,25074,642,False,False
Exp20190514,30,DrillingCPS,30882,609,False,False
Exp20190514,50,RobotAssembly,17379,106,False,False
Exp20190514,60,CameraInspection,26637,610,False,False
Exp20190514,70,MagazineBack,25224,615,False,False
Exp20190514,80,Press,28836,615,False,False
Exp20190617,10,Manual,20390,845,False,False
Exp20190617,20,MagazineFront,19429,670,False,False
Exp20190617,30,DrillingCPS,21569,683,False,False
Exp20190617,50,RobotAssembly,28148,182,False,False
Exp20190617,60,CameraInspection,20511,658,False,False
Exp20190617,70,MagazineBack,19673,649,False,False
Exp20190617,80,Press,21744,656,False,False
