experiment_id,table,rows,invalid_timestamp_count,not_13_digit_epoch_ms_count,date_incompatible_with_experiment_count,raw_order_regressions_across_selected_dump_profiles,first_timestamp_utc,last_timestamp_utc
Exp20190124,tblPowerLog,40287,0,0,0,1,2019-01-24 09:13:21.693000+00:00,2019-01-24 10:02:33.406000+00:00
Exp20190320,tblPowerLog,86189,0,0,0,10,2019-03-20 14:26:46.988000+00:00,2019-03-20 16:18:08.318000+00:00
Exp20190416,tblPowerLog,315873,0,0,0,20,2019-04-16 07:23:48.384000+00:00,2019-04-16 16:44:47.452000+00:00
Exp20190514,tblPowerLog,180033,0,0,0,10,2019-05-14 07:28:40.553000+00:00,2019-05-14 11:02:47.461000+00:00
Exp20190617,tblPowerLog,151464,0,0,0,96,2019-06-17 07:58:16.181000+00:00,2019-06-17 12:29:49.863000+00:00
Exp20190124,tblOperationLog,1206,0,0,0,1,2019-01-24 09:17:10.283000+00:00,2019-01-24 10:00:24.185000+00:00
Exp20190320,tblOperationLog,727,0,0,0,0,2019-03-20 14:45:33.954000+00:00,2019-03-20 16:14:50.888000+00:00
Exp20190416,tblOperationLog,24012,0,0,0,7,2019-04-16 07:27:06.400000+00:00,2019-04-16 16:44:05.986000+00:00
Exp20190514,tblOperationLog,3969,0,0,0,2,2019-05-14 07:36:18.338000+00:00,2019-05-14 10:59:41.996000+00:00
Exp20190617,tblOperationLog,4343,0,0,0,1,2019-06-17 08:03:29.236000+00:00,2019-06-17 12:27:56.019000+00:00
